Category	Geneset.ID	Description	Number.of.Genes	enrich.status	enrich.fdr	enrich.pvalue	promoter.status	promoter.fdr	promoter.pvalue	enhancer.status	enhancer.fdr	enhancer.pvalue
Gene Ontology Biological Process	GO:0007268	chemical synaptic transmission	814	enriched	2.69723376786526e-45	2.04982424389234e-48	enriched	0.000156004182010883	7.86219951983514e-07	farther	0.916895177154192	0.726711951110373
Gene Ontology Biological Process	GO:0098916	anterograde trans-synaptic signaling	814	enriched	2.69723376786526e-45	2.04982424389234e-48	enriched	0.000156004182010883	7.86219951983514e-07	farther	0.916895177154192	0.726711951110373
Gene Ontology Biological Process	GO:0099536	synaptic signaling	818	enriched	2.69723376786526e-45	2.09128417744932e-48	enriched	0.000202843216842586	1.24652297570656e-06	farther	0.897754328453012	0.677254815292485
Gene Ontology Biological Process	GO:0099537	trans-synaptic signaling	818	enriched	2.69723376786526e-45	2.09128417744932e-48	enriched	0.000202843216842586	1.24652297570656e-06	farther	0.897754328453012	0.677254815292485
Gene Ontology Biological Process	GO:0007267	cell-cell signaling	1613	enriched	8.18865033048511e-33	7.93627673045659e-36	enriched	0.178986957126121	0.0231062828931957	farther	0.846281825690512	0.55454602841527
Gene Ontology Biological Process	GO:0050804	modulation of synaptic transmission	411	enriched	2.96391183910907e-21	3.44707715345114e-24	enriched	0.131485093180446	0.0140071412782394	farther	0.980581673182948	0.920545040503385
Gene Ontology Biological Process	GO:0030182	neuron differentiation	1584	enriched	3.07151707375217e-19	4.16759440129196e-22	enriched	0.000267934088518893	1.86966993345225e-06	closer	0.018609947783161	0.000209222130533697
Gene Ontology Biological Process	GO:0048666	neuron development	1286	enriched	5.03407101350439e-18	8.60842073916328e-21	enriched	1.04222854898961e-05	1.01010714187789e-08	closer	0.0276039269583902	0.000353141922708617
Gene Ontology Biological Process	GO:0048699	generation of neurons	1677	enriched	5.03407101350439e-18	8.78205836819916e-21	enriched	6.89938540220156e-05	2.00602405568954e-07	closer	0.0445144870532959	0.000647138307617211
Gene Ontology Biological Process	GO:0022008	neurogenesis	1746	enriched	2.69510327871582e-17	5.22408078836173e-20	enriched	4.28923819072415e-05	1.08083148826156e-07	closer	0.0622638658154808	0.00137586367570553
Gene Ontology Biological Process	GO:0023061	signal release	495	enriched	5.08929686622607e-16	1.08513792456846e-18	enriched	0.00436126130372171	9.97536022173215e-05	farther	0.479684384389544	0.0903695398498396
Gene Ontology Biological Process	GO:0007612	learning	251	enriched	1.56830377729634e-15	3.64792504895446e-18	enriched	0.0535724844314797	0.00336492650704485	closer	0.837152150279832	0.526482561563813
Gene Ontology Biological Process	GO:0044708	single-organism behavior	581	enriched	2.2804085244239e-15	5.746328904344e-18	enriched	4.95651809225917e-05	1.34505239952759e-07	closer	0.673311880088268	0.257882288465009
Gene Ontology Biological Process	GO:0006836	neurotransmitter transport	236	enriched	2.34984818399253e-15	6.80920580965578e-18	enriched	0.00645983183038614	0.000181976581252476	farther	0.934606801547783	0.778890090759348
Gene Ontology Biological Process	GO:0048167	regulation of synaptic plasticity	218	enriched	2.34984818399253e-15	6.83227810813878e-18	enriched	0.131994990216447	0.0141636668240032	farther	0.786828864467755	0.42179280342851
