Category	Geneset.ID	Description	Number.of.Genes	enrich.status	enrich.fdr	enrich.pvalue	promoter.status	promoter.fdr	promoter.pvalue	enhancer.status	enhancer.fdr	enhancer.pvalue
Gene Ontology Biological Process	GO:0007268	chemical synaptic transmission	651	enriched	1.06798346505054e-31	5.25638290131392e-35	enriched	0.5684722137792	0.245063423811774	closer	0.42218522919181	0.149839339920567
Gene Ontology Biological Process	GO:0098916	anterograde trans-synaptic signaling	651	enriched	1.06798346505054e-31	5.25638290131392e-35	enriched	0.5684722137792	0.245063423811774	closer	0.42218522919181	0.149839339920567
Gene Ontology Biological Process	GO:0099536	synaptic signaling	652	enriched	1.06798346505054e-31	8.280546346583e-35	enriched	0.580700666508288	0.261816195056848	closer	0.42652659492763	0.153826896215415
Gene Ontology Biological Process	GO:0099537	trans-synaptic signaling	652	enriched	1.06798346505054e-31	8.280546346583e-35	enriched	0.580700666508288	0.261816195056848	closer	0.42652659492763	0.153826896215415
Gene Ontology Biological Process	GO:0050804	modulation of synaptic transmission	352	enriched	4.78907134974021e-19	4.64147252349313e-22	enriched	0.401649188141347	0.113978370118033	closer	0.867201822040457	0.659671741420224
Gene Ontology Biological Process	GO:0007267	cell-cell signaling	1442	enriched	5.52125208487144e-18	6.42130500275802e-21	depleted	0.458906871570383	0.154958517574203	closer	0.403166093422667	0.13698268432297
Gene Ontology Biological Process	GO:0030182	neuron differentiation	1354	enriched	1.63787015213296e-15	2.22234756056033e-18	enriched	0.225315898171274	0.0363117064431641	closer	0.00334070409524886	7.44681083453419e-05
Gene Ontology Biological Process	GO:0048699	generation of neurons	1465	enriched	6.97593873256802e-15	1.08175053034588e-17	enriched	0.256039240665314	0.0454179310800204	closer	0.00603829420784694	0.000183758904949015
Gene Ontology Biological Process	GO:0048666	neuron development	1089	enriched	4.87550959792554e-14	8.5054441522252e-17	enriched	0.223756641623516	0.0357819789376624	closer	0.000815711183902237	1.23329079946452e-05
Gene Ontology Biological Process	GO:0048167	regulation of synaptic plasticity	203	enriched	5.1080858951117e-14	9.90131012814828e-17	enriched	0.166687906153082	0.0199234117747648	farther	0.954704781238377	0.869320903790847
Gene Ontology Biological Process	GO:0022008	neurogenesis	1546	enriched	5.69061808242919e-14	1.21335140350303e-16	enriched	0.279610485873217	0.0530252070256156	closer	0.00752781202803477	0.000253894028470256
Gene Ontology Biological Process	GO:0098655	cation transmembrane transport	764	enriched	2.56715219415637e-13	5.9712786062951e-16	depleted	0.827557428220378	0.576996330550242	closer	0.000268923515738481	2.08508250233364e-06
Gene Ontology Biological Process	GO:0007612	learning	193	enriched	3.59799132845755e-13	9.06646390190893e-16	enriched	0.663870447633174	0.351687911103211	closer	0.107108629394037	0.0122951903793943
Gene Ontology Biological Process	GO:0006836	neurotransmitter transport	204	enriched	6.93395324639173e-13	1.88166980906153e-15	enriched	0.82909885942312	0.57951744273692	closer	0.763154862785634	0.503543158155127
